Rk,Nation,# Players,Min,List
1,eng England,159,"112,840","Nikita Parris, Remi Allen, Ellen White, Fara Williams, Fran Kirby, Jordan Nobbs, Brooke Chaplen, Bethany England, Lauren Hemp, Alex Greenwood ..."
2,wal Wales,29,"17,902","Rachel Rowe, Sophie Ingle, Natasha Harding, Hayley Ladd, Gemma Evans, Nicola Cousins, Angharad James, Georgia Evans, Loren Dykes, Kayleigh Green ..."
3,sco Scotland,10,"11,078","Claire Emslie, Jennifer Beattie, Caroline Weir, Lisa Evans, Emma Mitchell, Chloe Arthur, Erin Cuthbert, Kim Little, Jane Ross, Frankie Brown"
4,nl Netherlands,10,"9,635","DaniÃ«lle van de Donk, Dominique Janssen, Danique Kerkdijk, Dominique Bruinenberg, Vivianne Miedema, Sari van Veenendaal, Siri Worm, Marthe Munsterman, Mandy van den Berg, Tessel Middag"
5,ie Ireland,8,"2,842","Louise Quinn, Katie McCabe, Harriet Scott, Grace Moloney, Megan Campbell, Marie Hourihan, Harriet Lambe, Niamh Reynolds"
6,de Germany,6,"2,838","Ann-Katrin Berger, Marisa Ewers, Josephine Henning, Anke PreuÃŸ, Pauline Bremer, Isabelle Linden"
7,se Sweden,5,"3,247","Magdalena Eriksson, Jonna Andersson, Hedvig Lindahl, Jessica Samuelsson, Julia Spetsmark"
8,us United States,4,"4,171","Zaneta Wyne, Satara Murray, Heather O'Reilly, Crystal Dunn"
9,nir Northern Ireland,4,"1,899","Rachel Furness, Simone Magill, Becky Flaherty, Chelsea Cochrane"
10,be Belgium,3,"2,780","Yana Daniels, Julie Biesmans, Lorca Van De Putte"
11,no Norway,3,"2,286","Maren Mjelde, Maria Thorisdottir, Andrine Hegerberg"
12,dk Denmark,2,932,"Nadia Nadim, Mie Leth Jans"
13,nz New Zealand,2,879,"Olivia Chance, Anna Green"
14,ca Canada,1,"1,228",Kylla Sjoman
15,kr South Korea,1,"1,003",Ji So-yun
16,ch Switzerland,1,807,Ramona Bachmann
17,at Austria,1,166,Simona Koren
